latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-17.091,-41.45,306.3,2.6,1.6,2020-01-13,0155,T,67,6.0NRT,292.5,27.2,N
13.544,-8.697,300.7,4.4,1.9,2020-01-13,0135,A,31,6.0NRT,287,50.1,N
10.439,7.153,300.7,2.1,1.4,2020-01-13,0135,A,32,6.0NRT,289.4,13.5,N
11.083,0.987,305.1,1,1,2020-01-13,0135,A,63,6.0NRT,290.9,6.5,N
10.193,-0.108,307.2,1,1,2020-01-13,0135,A,71,6.0NRT,291.8,7.7,N
10.17,-0.079,309,1,1,2020-01-13,0135,A,76,6.0NRT,292.8,8.4,N
10.169,-0.07,304.9,1,1,2020-01-13,0135,A,62,6.0NRT,293.3,5.8,N
10.151,-0.399,315,1.1,1,2020-01-13,0135,A,90,6.0NRT,291.1,14.9,N
10.15,-0.389,305.4,1.1,1,2020-01-13,0135,A,64,6.0NRT,290.4,7.4,N
9.971,-0.938,305.2,1.1,1,2020-01-13,0135,A,60,6.0NRT,291.3,6.8,N
9.96,-0.929,304.9,1.1,1,2020-01-13,0135,A,57,6.0NRT,292.8,6.3,N
9.562,-0.271,300.2,1,1,2020-01-13,0135,A,12,6.0NRT,289.9,3.7,N
9.621,-1.514,302.7,1.2,1.1,2020-01-13,0135,A,51,6.0NRT,290.3,5.4,N
9.492,-1.319,303.5,1.1,1.1,2020-01-13,0135,A,55,6.0NRT,291.4,5.9,N
9.493,-1.837,304.2,1.2,1.1,2020-01-13,0135,A,45,6.0NRT,292.6,6.5,N
9.438,-4.164,301.4,1.7,1.3,2020-01-13,0135,A,41,6.0NRT,291.4,10,N
9.029,-3.756,303.2,1.6,1.2,2020-01-13,0135,A,54,6.0NRT,288.3,11.2,N
9.025,-3.748,303.2,1.6,1.2,2020-01-13,0135,A,54,6.0NRT,288.2,11.6,N
8.998,-3.709,300.4,1.6,1.2,2020-01-13,0135,A,27,6.0NRT,288.9,8.5,N
7.505,-0.877,309.2,1,1,2020-01-13,0135,A,67,6.0NRT,289.5,10.8,N
6.019,5.869,303.8,2,1.4,2020-01-13,0135,A,57,6.0NRT,293.5,13.8,N
5.692,6.368,304.7,2.2,1.4,2020-01-13,0135,A,61,6.0NRT,293.2,17.2,N
5.667,6.526,303.3,2.3,1.5,2020-01-13,0135,A,54,6.0NRT,293.2,14.3,N
5.358,4.349,308,1.6,1.2,2020-01-13,0135,A,58,6.0NRT,295.1,9.8,N
4.3,8.165,308.5,3.2,1.7,2020-01-13,0135,A,61,6.0NRT,293.1,33.2,N
4.296,8.194,305.3,3.2,1.7,2020-01-13,0135,A,27,6.0NRT,292.5,22.1,N
4.302,8.161,306.9,3.2,1.7,2020-01-13,0135,A,50,6.0NRT,293.1,27.4,N
4.298,8.189,309.3,3.2,1.7,2020-01-13,0135,A,66,6.0NRT,292.6,36.4,N
3.47,5.564,311.3,2.1,1.4,2020-01-13,0135,A,75,6.0NRT,294.6,22.3,N
32.516,6.708,301.9,1,1,2020-01-13,0130,A,45,6.0NRT,275.3,10.2,N
31.867,6.172,318.7,1,1,2020-01-13,0130,A,97,6.0NRT,275.5,22,N
31.865,6.182,313.2,1,1,2020-01-13,0130,A,87,6.0NRT,275.7,17.3,N
31.821,6.231,308.6,1,1,2020-01-13,0130,A,75,6.0NRT,275.2,14,N
31.712,5.968,322.3,1,1,2020-01-13,0130,A,100,6.0NRT,275.4,25.4,N
31.69,5.807,315.6,1,1,2020-01-13,0130,A,92,6.0NRT,275.1,19.4,N
31.688,5.817,320.3,1,1,2020-01-13,0130,A,100,6.0NRT,276.3,23.7,N
31.592,5.964,324.5,1,1,2020-01-13,0130,A,100,6.0NRT,276,28,N
31.401,6.934,301.3,1,1,2020-01-13,0130,A,39,6.0NRT,277.4,9.2,N
31.019,8.166,311.1,1.1,1,2020-01-13,0130,A,82,6.0NRT,276.4,17.8,N
28.741,9.79,311.7,1.4,1.2,2020-01-13,0130,A,83,6.0NRT,272.2,28.4,N
48.279,14.346,305.9,1.1,1,2020-01-13,0125,A,66,6.0NRT,270.8,14.9,N
45.467,10.462,313.6,1,1,2020-01-13,0125,A,87,6.0NRT,269.7,18.1,N
-1.535,-53.683,305.2,1,1,2020-01-13,0200,T,9,6.0NRT,286.3,7.7,N
4.323,-60.62,310.1,2.4,1.5,2020-01-13,0200,T,79,6.0NRT,291.2,28.5,N
4.32,-60.641,307.7,2.4,1.5,2020-01-13,0200,T,72,6.0NRT,291,22.7,N
4.319,-60.625,315.6,2.4,1.5,2020-01-13,0200,T,91,6.0NRT,291.2,42.9,N
8.011,-56.992,341.5,1.2,1.1,2020-01-13,0200,T,100,6.0NRT,295.4,54.3,N
8.015,-56.988,330.9,1.2,1.1,2020-01-13,0200,T,100,6.0NRT,295.1,34.7,N
8.014,-56.999,326,1.2,1.1,2020-01-13,0200,T,100,6.0NRT,294.6,27.1,N
8.686,-63.148,302.1,3.2,1.7,2020-01-13,0200,T,47,6.0NRT,290.2,22.7,N
8.684,-63.154,305.3,3.2,1.7,2020-01-13,0200,T,64,6.0NRT,290.4,32.7,N
9.278,-64.047,302,3.6,1.8,2020-01-13,0200,T,46,6.0NRT,290.2,26.5,N
9.381,-64.558,303.9,3.9,1.8,2020-01-13,0200,T,58,6.0NRT,291.7,32,N
9.387,-64.565,302,3.9,1.8,2020-01-13,0200,T,46,6.0NRT,291.6,24.8,N
9.566,-63.633,301.1,3.3,1.7,2020-01-13,0200,T,38,6.0NRT,290.1,23.2,N
9.641,-63.557,318,3.3,1.7,2020-01-13,0200,T,96,6.0NRT,290.7,81,N
9.657,-63.559,324.1,3.3,1.7,2020-01-13,0200,T,100,6.0NRT,290.5,112.1,N
9.647,-63.618,348.6,3.3,1.7,2020-01-13,0200,T,100,6.0NRT,291,324.9,N
9.642,-63.647,326.3,3.3,1.7,2020-01-13,0200,T,66,6.0NRT,290.1,123.4,N
9.638,-63.561,318.2,3.3,1.7,2020-01-13,0200,T,96,6.0NRT,290.6,84.4,N
9.659,-63.535,309.5,3.2,1.7,2020-01-13,0200,T,78,6.0NRT,290.3,46,N
9.654,-63.564,327,3.3,1.7,2020-01-13,0200,T,100,6.0NRT,290.7,138.2,N
9.643,-63.622,324.3,3.3,1.7,2020-01-13,0200,T,100,6.0NRT,290.5,120.5,N
9.638,-63.651,302.6,3.3,1.7,2020-01-13,0200,T,32,6.0NRT,289.6,23.7,N
9.633,-63.68,308.9,3.3,1.7,2020-01-13,0200,T,76,6.0NRT,289,48.4,N
9.628,-63.71,318,3.4,1.7,2020-01-13,0200,T,96,6.0NRT,289.7,91.9,N
9.623,-63.74,302.6,3.4,1.7,2020-01-13,0200,T,38,6.0NRT,289.7,27.8,N
9.684,-63.48,302.2,3.2,1.7,2020-01-13,0200,T,36,6.0NRT,289.8,22,N
9.659,-63.625,345.4,3.3,1.7,2020-01-13,0200,T,100,6.0NRT,290.9,293.5,N
9.654,-63.654,312,3.3,1.7,2020-01-13,0200,T,57,6.0NRT,290.1,55.2,N
9.733,-63.46,310.5,3.2,1.7,2020-01-13,0200,T,80,6.0NRT,290.4,52.5,N
9.729,-63.489,314,3.2,1.7,2020-01-13,0200,T,88,6.0NRT,290.3,67.6,N
9.731,-63.466,313.1,3.2,1.7,2020-01-13,0200,T,86,6.0NRT,290.4,62.2,N
9.726,-63.495,304,3.2,1.7,2020-01-13,0200,T,58,6.0NRT,289.8,29.1,N
9.746,-63.468,300.5,3.2,1.7,2020-01-13,0200,T,24,6.0NRT,290,18.2,N
10.058,-64.877,305.8,4.1,1.9,2020-01-13,0200,T,66,6.0NRT,291.1,42.1,N
10.062,-64.885,302.4,4.1,1.9,2020-01-13,0200,T,36,6.0NRT,291.1,27.4,N
-3.988,121.797,307.6,2.9,1.6,2020-01-13,0250,T,30,6.0NRT,285.5,19.2,D
-34.182,-70.524,307.6,1,1,2020-01-13,0330,T,72,6.0NRT,291.1,8.9,N
-34.108,-70.454,311.9,1,1,2020-01-13,0330,T,84,6.0NRT,289.8,12.8,N
-34.11,-70.465,301.9,1,1,2020-01-13,0330,T,45,6.0NRT,289,6.2,N
-8.412,-74.881,301.4,1,1,2020-01-13,0335,T,41,6.0NRT,290.4,3.5,N
-2.006,-78.34,304.4,1,1,2020-01-13,0335,T,60,6.0NRT,270,11.6,N
13.128,107.168,317.2,4.4,1.9,2020-01-13,0245,T,66,6.0NRT,291.8,75.3,D
13.126,107.16,314.2,4.4,1.9,2020-01-13,0245,T,61,6.0NRT,291.5,58.4,D
-38.227,-69.026,303.2,1,1,2020-01-13,0325,T,54,6.0NRT,289.6,5.8,N
26.952,119.06,302.2,1.1,1,2020-01-13,0240,T,49,6.0NRT,282.5,7,D
26.95,119.07,302.5,1.1,1,2020-01-13,0240,T,53,6.0NRT,278.2,7.2,D
26.69,118.482,323.3,1.1,1.1,2020-01-13,0240,T,82,6.0NRT,285.9,27.1,D
25.694,114.401,308.7,1.9,1.3,2020-01-13,0240,T,67,6.0NRT,283.5,28.3,D
25.055,118.736,300.9,1.1,1,2020-01-13,0240,T,35,6.0NRT,289.4,3.7,D
23.751,120.318,311.4,1,1,2020-01-13,0240,T,71,6.0NRT,292.1,8.3,D
-41.739,148.031,328.3,1.2,1.1,2020-01-13,0355,A,82,6.0NRT,296.9,29.3,D
-41.74,148.016,319.8,1.2,1.1,2020-01-13,0355,A,73,6.0NRT,298.2,17.2,D
-41.662,148.078,343.9,1.2,1.1,2020-01-13,0355,A,87,6.0NRT,294.9,60.6,D
-41.664,148.063,338.1,1.2,1.1,2020-01-13,0355,A,89,6.0NRT,300.6,46.6,D
-41.626,147.863,349.1,1.3,1.1,2020-01-13,0355,A,95,6.0NRT,303.4,69.3,D
-41.627,147.848,394.1,1.3,1.1,2020-01-13,0355,A,100,6.0NRT,308.3,293,D
-41.629,147.833,359.4,1.3,1.1,2020-01-13,0355,A,99,6.0NRT,301.2,105.1,D
-41.63,147.818,348,1.3,1.1,2020-01-13,0355,A,86,6.0NRT,297.5,68.9,D
-41.617,147.846,343.5,1.3,1.1,2020-01-13,0355,A,92,6.0NRT,303.4,54.7,D
-41.619,147.831,335.4,1.3,1.1,2020-01-13,0355,A,66,6.0NRT,300.4,35.3,D
